id,FeatureName,Target
0,0.6666666666666666,1
1,0.5,0
2,0.5,1
3,0.6363636363636364,1
4,0.75,1
5,0.5,0
6,0.5714285714285714,1
7,0.7777777777777778,0
8,1.0,1
9,0.75,1
10,0.5,1
11,0.7777777777777778,1
12,0.6923076923076923,1
13,0.75,0
14,1.0,1
15,0.5714285714285714,1
16,0.75,0
17,0.7777777777777778,1
18,0.6923076923076923,1
19,0.6923076923076923,0
20,0.6666666666666666,1
21,0.5714285714285714,1
22,0.6666666666666666,0
23,0.5,0
24,0.6923076923076923,0
25,0.6666666666666666,1
26,0.6666666666666666,1
27,0.6666666666666666,1
28,0.7777777777777778,1
29,0.625,1
30,0.5714285714285714,0
31,1.0,1
32,0.75,1
33,1.0,1
34,0.6363636363636364,1
35,0.6666666666666666,1
36,0.625,1
37,0.6923076923076923,0
38,0.75,0
39,0.5,0
40,0.7777777777777778,1
41,0.6923076923076923,1
42,0.5714285714285714,1
43,0.6666666666666666,0
44,0.5,1
45,0.6666666666666666,0
46,0.6666666666666666,0
47,1.0,1
48,0.6363636363636364,1
49,1.0,1
50,0.7777777777777778,1
51,0.75,1
52,0.75,1
53,0.6923076923076923,1
54,0.6666666666666666,1
55,1.0,1
56,0.75,1
57,1.0,1
58,0.5714285714285714,0
59,0.6363636363636364,1
60,0.625,0
61,0.6363636363636364,0
62,1.0,1
63,0.5,1
64,1.0,1
65,0.6363636363636364,0
66,0.7777777777777778,1
67,0.6666666666666666,0
68,0.75,1
69,0.75,1
70,0.7777777777777778,0
71,0.6923076923076923,1
72,0.6923076923076923,0
73,0.6363636363636364,1
74,0.75,1
75,0.5,0
76,1.0,1
77,0.625,1
78,0.6666666666666666,1
79,0.6923076923076923,1
80,0.6923076923076923,1
81,0.625,1
82,0.6923076923076923,1
83,0.5,1
84,0.7777777777777778,1
85,0.625,0
86,0.6666666666666666,1
87,0.6363636363636364,1
88,0.6666666666666666,1
89,0.6923076923076923,1
90,0.75,1
91,0.6363636363636364,1
92,0.625,1
93,0.75,1
94,0.6363636363636364,0
95,0.6363636363636364,0
96,0.625,0
97,0.5714285714285714,0
98,0.75,1
99,1.0,1
100,0.75,0
